time,open,high,low,close,tick_volume,spread,real_volume
2026-07-21 11:30:00,4063.55,4065.06,4061.79,4062.56,1360,10,0
2026-07-21 11:35:00,4062.66,4063.55,4060.79,4062.32,1059,11,0
2026-07-21 11:40:00,4062.32,4063.99,4062.02,4062.18,998,10,0
2026-07-21 11:45:00,4062.24,4062.43,4059.17,4060.07,1008,16,0
2026-07-21 11:50:00,4060.14,4063.44,4059.15,4061.12,1147,13,0
2026-07-21 11:55:00,4061.12,4063.59,4060.17,4062.78,701,8,0
2026-07-21 12:00:00,4062.82,4066.64,4062.82,4065.95,918,14,0
2026-07-21 12:05:00,4065.87,4066.74,4063.68,4065.96,1131,8,0
2026-07-21 12:10:00,4066.0,4066.28,4064.64,4065.11,771,15,0
2026-07-21 12:15:00,4065.23,4066.72,4064.65,4066.39,1031,12,0
2026-07-21 12:20:00,4066.39,4068.22,4065.07,4067.04,1455,9,0
2026-07-21 12:25:00,4067.03,4068.42,4062.51,4062.73,1157,13,0
2026-07-21 12:30:00,4062.73,4065.52,4061.68,4063.03,1131,10,0
2026-07-21 12:35:00,4063.01,4064.1,4061.71,4062.48,937,10,0
2026-07-21 12:40:00,4062.5,4062.84,4060.95,4062.37,812,21,0
2026-07-21 12:45:00,4062.37,4066.97,4062.12,4066.33,973,8,0
2026-07-21 12:50:00,4066.4,4069.66,4064.41,4069.18,1186,8,0
2026-07-21 12:55:00,4069.27,4069.27,4065.61,4065.91,939,10,0
2026-07-21 13:00:00,4065.79,4068.1,4063.62,4063.96,1211,8,0
2026-07-21 13:05:00,4063.94,4064.23,4061.45,4061.47,967,13,0
2026-07-21 13:10:00,4061.47,4068.4,4060.84,4066.16,2095,8,0
2026-07-21 13:15:00,4066.18,4068.22,4064.74,4067.3,1387,10,0
2026-07-21 13:20:00,4067.3,4069.12,4066.93,4067.27,1195,21,0
2026-07-21 13:25:00,4067.27,4069.25,4066.12,4066.66,982,10,0
2026-07-21 13:30:00,4066.78,4068.39,4066.53,4068.18,993,17,0
2026-07-21 13:35:00,4068.18,4070.09,4067.97,4068.79,1144,10,0
2026-07-21 13:40:00,4068.79,4068.79,4066.7,4066.95,860,13,0
2026-07-21 13:45:00,4067.07,4068.51,4062.88,4062.97,1112,8,0
