time,open,high,low,close,tick_volume,spread,real_volume
2025-08-01 01:05:00,3291.51,3291.92,3290.29,3291.09,134,8,0
2025-08-01 01:10:00,3291.09,3291.82,3290.83,3291.3,81,13,0
2025-08-01 01:15:00,3291.3,3292.79,3291.02,3292.7,99,16,0
2025-08-01 01:20:00,3292.71,3293.61,3292.17,3293.52,120,15,0
2025-08-01 01:25:00,3293.58,3293.75,3293.05,3293.34,108,16,0
2025-08-01 01:30:00,3293.36,3293.93,3292.77,3293.53,105,15,0
2025-08-01 01:35:00,3293.51,3293.86,3292.78,3293.78,113,15,0
2025-08-01 01:40:00,3293.82,3294.11,3293.08,3294.01,106,15,0
2025-08-01 01:45:00,3294.05,3295.14,3293.85,3294.68,129,15,0
2025-08-01 01:50:00,3294.32,3295.0,3293.5,3294.69,120,15,0
2025-08-01 01:55:00,3294.68,3295.02,3293.96,3295.0,131,15,0
2025-08-01 02:00:00,3295.01,3295.11,3292.8,3292.8,199,15,0
2025-08-01 02:05:00,3292.88,3293.46,3292.01,3292.34,219,16,0
2025-08-01 02:10:00,3292.44,3292.52,3290.37,3290.59,228,13,0
2025-08-01 02:15:00,3290.56,3290.57,3288.82,3288.88,208,14,0
2025-08-01 02:20:00,3288.82,3290.72,3288.38,3290.42,206,15,0
2025-08-01 02:25:00,3290.33,3292.31,3290.16,3292.13,161,9,0
2025-08-01 02:30:00,3292.16,3292.16,3289.86,3291.16,179,16,0
2025-08-01 02:35:00,3291.19,3291.59,3290.49,3290.79,149,10,0
2025-08-01 02:40:00,3290.81,3291.73,3290.66,3291.51,131,16,0
2025-08-01 02:45:00,3291.5,3291.7,3290.42,3290.42,159,16,0
2025-08-01 02:50:00,3290.66,3290.89,3289.8,3290.02,147,15,0
2025-08-01 02:55:00,3289.92,3290.0,3288.06,3288.57,215,10,0
2025-08-01 03:00:00,3288.46,3289.32,3287.35,3287.78,278,5,0
2025-08-01 03:05:00,3287.76,3288.05,3286.7,3287.54,265,15,0
2025-08-01 03:10:00,3287.52,3288.65,3287.24,3288.42,236,16,0
2025-08-01 03:15:00,3288.41,3288.41,3286.47,3287.32,227,13,0
2025-08-01 03:20:00,3287.42,3288.85,3287.16,3288.17,229,5,0
2025-08-01 03:25:00,3288.13,3290.05,3287.62,3288.56,282,12,0
2025-08-01 03:30:00,3288.51,3289.61,3288.18,3288.97,210,15,0
2025-08-01 03:35:00,3288.76,3290.48,3288.74,3289.63,233,12,0
2025-08-01 03:40:00,3289.61,3293.77,3289.4,3292.82,273,15,0
2025-08-01 03:45:00,3292.84,3293.08,3291.38,3291.91,251,13,0
2025-08-01 03:50:00,3291.89,3292.11,3290.59,3290.83,291,16,0
2025-08-01 03:55:00,3290.79,3291.06,3289.62,3290.25,283,14,0
2025-08-01 04:00:00,3290.2,3293.58,3290.02,3291.67,369,8,0
2025-08-01 04:05:00,3291.5,3292.74,3290.07,3291.21,297,15,0
2025-08-01 04:10:00,3291.2,3292.32,3291.09,3291.92,267,13,0
2025-08-01 04:15:00,3291.89,3293.18,3290.96,3291.03,264,15,0
2025-08-01 04:20:00,3290.98,3291.42,3289.63,3289.63,273,15,0
2025-08-01 04:25:00,3289.64,3290.56,3288.83,3290.33,266,13,0
2025-08-01 04:30:00,3290.34,3291.55,3288.71,3288.71,276,15,0
2025-08-01 04:35:00,3288.7,3289.25,3287.93,3288.16,287,15,0
2025-08-01 04:40:00,3288.15,3288.15,3286.07,3287.86,316,8,0
2025-08-01 04:45:00,3287.94,3288.36,3286.34,3286.36,254,15,0
2025-08-01 04:50:00,3286.31,3286.58,3281.92,3282.43,342,13,0
2025-08-01 04:55:00,3282.78,3284.04,3281.59,3283.8,338,15,0
2025-08-01 05:00:00,3283.7,3289.96,3283.35,3288.85,382,15,0
2025-08-01 05:05:00,3288.75,3290.12,3287.94,3289.17,329,12,0
2025-08-01 05:10:00,3289.16,3291.08,3288.11,3291.03,295,15,0
2025-08-01 05:15:00,3290.98,3291.14,3289.1,3289.74,244,16,0
2025-08-01 05:20:00,3289.73,3291.03,3288.98,3289.43,230,15,0
2025-08-01 05:25:00,3289.44,3289.53,3287.89,3289.49,248,15,0
2025-08-01 05:30:00,3289.52,3290.1,3288.54,3289.51,245,15,0
2025-08-01 05:35:00,3289.52,3290.09,3288.12,3288.69,256,15,0
2025-08-01 05:40:00,3288.59,3289.68,3287.15,3289.42,302,14,0
2025-08-01 05:45:00,3289.42,3289.85,3288.18,3289.05,241,16,0
2025-08-01 05:50:00,3289.04,3291.54,3288.83,3290.93,249,16,0
2025-08-01 05:55:00,3290.98,3292.46,3290.46,3291.78,313,7,0
2025-08-01 06:00:00,3291.78,3293.1,3291.78,3292.86,265,16,0
2025-08-01 06:05:00,3292.8,3294.22,3292.21,3294.01,282,13,0
2025-08-01 06:10:00,3293.98,3297.08,3293.98,3296.0,321,13,0
2025-08-01 06:15:00,3295.99,3296.31,3293.88,3294.02,255,11,0
2025-08-01 06:20:00,3294.11,3294.4,3293.06,3293.68,190,16,0
2025-08-01 06:25:00,3293.69,3293.69,3291.29,3292.64,241,7,0
2025-08-01 06:30:00,3292.65,3293.06,3291.77,3292.33,224,16,0
2025-08-01 06:35:00,3292.34,3293.09,3291.41,3292.21,226,15,0
2025-08-01 06:40:00,3292.19,3292.8,3291.89,3291.94,204,14,0
2025-08-01 06:45:00,3291.95,3293.25,3291.41,3292.72,208,15,0
2025-08-01 06:50:00,3292.67,3293.23,3291.75,3291.75,177,15,0
2025-08-01 06:55:00,3291.71,3291.71,3290.54,3291.39,215,15,0
2025-08-01 07:00:00,3291.38,3293.36,3291.38,3292.41,190,10,0
2025-08-01 07:05:00,3292.4,3293.94,3291.15,3291.17,247,15,0
2025-08-01 07:10:00,3291.12,3292.09,3290.52,3291.42,248,7,0
2025-08-01 07:15:00,3291.46,3292.8,3290.99,3292.63,202,12,0
2025-08-01 07:20:00,3292.62,3292.97,3292.11,3292.29,164,16,0
2025-08-01 07:25:00,3292.27,3293.29,3292.0,3292.71,196,14,0
2025-08-01 07:30:00,3292.8,3295.94,3292.8,3294.23,252,15,0
2025-08-01 07:35:00,3294.25,3295.36,3293.87,3294.96,205,15,0
2025-08-01 07:40:00,3294.95,3295.43,3291.98,3292.06,211,5,0
2025-08-01 07:45:00,3292.05,3292.14,3290.44,3290.73,254,10,0
2025-08-01 07:50:00,3290.74,3290.97,3290.07,3290.95,233,15,0
2025-08-01 07:55:00,3290.98,3292.44,3290.41,3292.07,267,12,0
2025-08-01 08:00:00,3292.09,3294.53,3291.91,3294.01,225,8,0
2025-08-01 08:05:00,3294.05,3294.35,3292.92,3294.16,214,5,0
2025-08-01 08:10:00,3294.11,3294.22,3292.16,3292.58,215,16,0
2025-08-01 08:15:00,3292.59,3292.92,3291.81,3292.79,200,16,0
2025-08-01 08:20:00,3292.75,3293.58,3292.36,3293.06,199,11,0
2025-08-01 08:25:00,3292.9,3294.37,3292.79,3293.17,209,15,0
2025-08-01 08:30:00,3293.18,3294.28,3292.72,3293.66,240,15,0
2025-08-01 08:35:00,3293.73,3294.27,3292.68,3293.91,236,5,0
2025-08-01 08:40:00,3293.91,3295.52,3293.47,3295.52,236,15,0
2025-08-01 08:45:00,3295.48,3296.75,3294.88,3296.75,265,5,0
2025-08-01 08:50:00,3296.76,3300.3,3296.75,3297.12,325,11,0
2025-08-01 08:55:00,3297.44,3297.71,3295.95,3296.71,296,15,0
2025-08-01 09:00:00,3296.63,3297.17,3296.01,3296.87,269,16,0
2025-08-01 09:05:00,3296.8,3296.97,3295.48,3296.44,332,16,0
2025-08-01 09:10:00,3296.49,3297.37,3295.04,3295.04,276,5,0
2025-08-01 09:15:00,3295.07,3295.98,3294.47,3294.66,301,16,0
2025-08-01 09:20:00,3294.69,3295.99,3293.99,3294.34,264,16,0
2025-08-01 09:25:00,3294.26,3295.34,3291.79,3292.06,338,12,0
2025-08-01 09:30:00,3292.11,3292.79,3291.36,3291.51,269,16,0
2025-08-01 09:35:00,3291.46,3291.87,3290.56,3291.5,288,16,0
2025-08-01 09:40:00,3291.49,3293.1,3291.28,3291.48,300,11,0
2025-08-01 09:45:00,3291.44,3291.94,3290.76,3290.81,225,15,0
2025-08-01 09:50:00,3290.75,3292.14,3290.66,3291.32,243,15,0
2025-08-01 09:55:00,3291.47,3292.36,3290.67,3292.36,232,13,0
2025-08-01 10:00:00,3292.22,3292.22,3289.82,3290.11,282,15,0
2025-08-01 10:05:00,3290.08,3292.22,3289.51,3291.95,274,15,0
2025-08-01 10:10:00,3291.99,3292.79,3290.71,3292.47,277,14,0
2025-08-01 10:15:00,3292.34,3293.44,3289.8,3290.51,321,16,0
2025-08-01 10:20:00,3290.46,3292.21,3290.03,3291.33,280,14,0
2025-08-01 10:25:00,3291.26,3291.86,3290.62,3290.91,260,16,0
2025-08-01 10:30:00,3290.9,3291.0,3288.13,3288.13,283,15,0
2025-08-01 10:35:00,3288.14,3288.39,3286.19,3286.25,329,13,0
2025-08-01 10:40:00,3286.24,3287.88,3285.72,3287.38,313,15,0
2025-08-01 10:45:00,3287.53,3289.58,3287.51,3288.4,289,15,0
2025-08-01 10:50:00,3288.4,3288.56,3285.31,3286.69,312,16,0
2025-08-01 10:55:00,3286.69,3287.69,3286.09,3286.87,272,16,0
2025-08-01 11:00:00,3286.71,3287.74,3285.59,3286.15,293,10,0
